Catfish: Average price received by processors by product type (dollars per pound),,,,,,,,,,,,,
Year and month,,Fresh and frozen 1/,,,,Fresh,,,,Frozen,,,
,,Whole fish,Fillets,Other products,Average,Whole fish,Fillets,Other products,Average,Whole fish,Fillets,Other products,Average
,Aug,2.160299003322259,3.2889163328882955,1.7821384335154828,2.7908807644370586,1.95,3.76,1.84,2.83,2.85,3.11,1.77,2.77
,Sep,2.080562403697997,3.295701951951952,2.0014820042342976,2.786298614215467,1.89,3.72,1.85,2.78,2.86,3.11,2.03,2.79
,Oct,1.9989873005535657,3.4239285714285717,1.8090037593984964,2.7952808988764044,1.84,3.74,1.85,2.68,2.77,3.29,1.8,2.87
,Nov,1.9853507161219246,3.342458055925433,2.327467136902854,2.8312162971839427,1.81,3.73,1.8,2.62,2.73,3.21,2.41,2.94
,Dec,1.9448471615720522,3.31555032925682,2.1909537000395725,2.7928814092481913,1.78,3.73,1.8,2.59,2.78,3.17,2.27,2.91
2013.0,Jan,1.9705126711331198,3.330631126776077,2.049020618556701,2.7564071482129466,1.81,3.7,1.82,2.59,2.77,3.2,2.09,2.85
,Feb,1.999155206286837,3.293856334720888,1.927408829174664,2.7660833494115376,1.83,3.68,1.78,2.67,2.73,3.15,1.96,2.82
,,,,,,,,,,,,,
"1/ Prices are gross value f.o.b. plant. Averages are weighted by sales volume.
Source: USDA, National Agricultural Statistics Service, Catfish Processing.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Date run: 4/5/2018 4:14:10 PM,,,,,,,,,,,,,
